Field of Study;Age;Gender;Education Level;Years of Experience;Family Influence
Biology;32;Female;Master's;6;High
Psychology;36;Male;Master's;12;Medium
Psychology;58;Female;Bachelor's;13;None
Arts;50;Female;Bachelor's;12;Low
Medicine;30;Female;High School;25;High
Computer Science;40;Female;PhD;20;High
Law;34;Female;Bachelor's;24;High
Law;33;Male;Master's;4;None
Arts;37;Male;High School;8;Low
Education;24;Female;High School;11;Low
Mechanical Engineering;57;Female;PhD;37;Low
Mechanical Engineering;23;Male;PhD;15;Medium
Law;25;Male;Bachelor's;10;Medium
Mechanical Engineering;55;Female;Bachelor's;30;Medium
Mechanical Engineering;28;Male;PhD;27;High
Mechanical Engineering;31;Female;High School;4;None
Education;33;Female;Master's;26;High
Medicine;23;Male;Bachelor's;20;Low
Mechanical Engineering;57;Female;Master's;29;High
Arts;43;Male;High School;0;Medium
Medicine;30;Female;Master's;11;None
Computer Science;21;Female;PhD;7;Low
Biology;58;Male;Master's;2;Medium
Arts;55;Female;Bachelor's;27;None
Law;55;Male;High School;15;Medium
Economics;26;Female;PhD;2;None
Arts;48;Female;Bachelor's;39;None
Biology;23;Male;Master's;13;Medium
Economics;44;Female;Bachelor's;14;Low
Medicine;38;Male;High School;37;None
Economics;41;Female;PhD;25;Low
Medicine;26;Male;PhD;39;None
Biology;47;Female;High School;4;Medium
Psychology;44;Male;Bachelor's;32;None
Arts;41;Male;High School;2;Low
Business;28;Male;Bachelor's;28;None
Biology;39;Female;Master's;21;Low
Economics;37;Female;PhD;33;Low
Psychology;39;Female;Bachelor's;33;Medium
Biology;31;Female;High School;34;Low
Mechanical Engineering;20;Male;High School;28;Low
Psychology;58;Male;Bachelor's;27;None
Law;56;Female;Master's;21;Medium
Mechanical Engineering;43;Female;PhD;39;Low
Computer Science;42;Male;PhD;31;Medium
Computer Science;28;Female;Bachelor's;4;High
Arts;34;Male;PhD;36;High
Arts;48;Female;High School;21;Medium
Business;48;Female;High School;16;Medium
Education;53;Male;High School;31;High
Economics;43;Female;Bachelor's;39;High
Psychology;46;Male;High School;3;Low
Law;35;Female;Bachelor's;11;Low
Medicine;59;Female;Master's;37;None
Psychology;58;Female;High School;37;High
Computer Science;45;Female;Bachelor's;29;Medium
Psychology;59;Male;High School;2;High
Biology;35;Male;High School;21;None
Economics;23;Female;PhD;35;Medium
Mechanical Engineering;55;Male;High School;10;None
Psychology;43;Female;High School;1;Medium
Arts;41;Male;PhD;11;High
Economics;47;Female;Bachelor's;23;None
Computer Science;22;Female;Master's;20;None
Mechanical Engineering;45;Male;Bachelor's;31;None
Law;29;Female;Bachelor's;9;None
Business;44;Female;Master's;20;Low
Economics;34;Male;Master's;19;High
Law;48;Female;Master's;11;High
Medicine;44;Female;Bachelor's;19;None
Economics;49;Female;High School;17;None
Computer Science;46;Female;PhD;30;Low
Arts;53;Female;High School;12;None
Biology;43;Female;Bachelor's;8;Medium
Psychology;27;Female;Master's;0;None
Computer Science;37;Female;High School;34;Low
Psychology;44;Female;High School;0;Medium
Arts;26;Female;PhD;22;High
Economics;35;Female;High School;22;High
Biology;49;Male;High School;3;Low
Biology;22;Male;PhD;35;None
Computer Science;33;Male;High School;11;None
Mechanical Engineering;53;Female;Master's;23;None
Economics;46;Male;Bachelor's;27;Low
Business;42;Male;High School;7;Medium
Medicine;29;Male;Master's;3;High
Law;42;Female;Master's;8;Low
Mechanical Engineering;47;Male;PhD;39;Medium
Mechanical Engineering;55;Female;Master's;23;Low
Law;46;Female;High School;5;Medium
Law;49;Male;Bachelor's;19;Low
Arts;33;Male;Bachelor's;27;High
Computer Science;36;Female;Bachelor's;6;Medium
Computer Science;28;Female;PhD;14;Medium
Business;54;Female;High School;22;Medium
Biology;28;Female;High School;10;High
Arts;32;Male;PhD;37;None
Computer Science;58;Female;Bachelor's;33;None
Psychology;38;Female;Master's;7;Medium
Law;26;Female;PhD;21;High
Business;27;Female;Master's;17;High
Economics;36;Male;PhD;38;Medium
Mechanical Engineering;59;Female;Master's;13;None
Medicine;38;Female;Master's;30;Medium
Arts;47;Male;Master's;27;None
Education;36;Male;Bachelor's;38;Medium
Medicine;54;Female;Master's;29;None
Business;50;Male;Bachelor's;26;High
Medicine;40;Female;High School;5;High
Law;43;Female;Master's;32;High
Education;45;Female;Master's;32;Medium
Biology;39;Female;High School;4;None
Business;48;Female;Master's;13;None
Business;54;Female;High School;14;None
Computer Science;52;Female;High School;5;None
Psychology;35;Male;Bachelor's;36;None
Biology;49;Male;Master's;18;High
Law;50;Male;Master's;22;Medium
Economics;33;Male;Bachelor's;18;High
Education;35;Female;PhD;39;Medium
Economics;37;Male;Bachelor's;24;High
Biology;57;Female;High School;2;Low
Economics;55;Male;Bachelor's;34;None
Medicine;43;Male;High School;37;Medium
Biology;28;Female;Bachelor's;5;Low
Computer Science;32;Female;High School;25;None
Education;30;Female;High School;34;Low
Education;57;Male;Bachelor's;0;None
Arts;59;Male;Master's;7;Low
Medicine;24;Female;PhD;33;Low
Business;55;Female;Master's;13;None
Medicine;39;Female;PhD;9;Low
Business;32;Female;Master's;27;Low
Biology;48;Female;Bachelor's;30;Medium
Law;43;Female;Bachelor's;26;Medium
Psychology;52;Female;Bachelor's;34;Low
Business;35;Male;Bachelor's;8;Low
Biology;44;Male;High School;18;Low
Business;30;Female;Bachelor's;28;None
Law;57;Male;Bachelor's;33;Medium
Business;23;Female;Master's;30;Low
Medicine;32;Male;PhD;12;High
Business;25;Male;Master's;21;Medium
Arts;23;Female;Master's;36;None
Mechanical Engineering;22;Female;High School;4;None
Arts;40;Male;Bachelor's;31;None
Computer Science;27;Male;PhD;29;None
Arts;48;Male;PhD;0;None
Law;38;Male;Master's;0;Medium
Psychology;38;Female;PhD;29;High
Arts;30;Female;PhD;37;Low
Economics;25;Male;PhD;19;Medium
Computer Science;29;Female;High School;20;Medium
Business;20;Male;High School;11;Medium
Computer Science;25;Male;Master's;27;High
Medicine;36;Male;Bachelor's;8;Medium
Business;48;Female;Bachelor's;6;High
Education;35;Female;Bachelor's;2;High
Biology;39;Male;Master's;23;Medium
Mechanical Engineering;39;Female;Master's;34;High
Law;37;Male;Bachelor's;24;Medium
Law;31;Male;Bachelor's;28;High
Mechanical Engineering;27;Male;High School;30;None
Economics;29;Female;Bachelor's;28;High
Medicine;21;Female;High School;11;None
Economics;26;Male;Bachelor's;21;Medium
Mechanical Engineering;45;Female;Master's;15;Medium
Mechanical Engineering;51;Male;High School;0;None
Law;44;Male;PhD;14;High
Medicine;50;Male;Bachelor's;21;Medium
Economics;57;Male;High School;15;None
Education;32;Female;Bachelor's;38;None
Education;45;Female;PhD;23;High
Medicine;46;Male;High School;36;Low
Law;59;Male;Master's;15;Low
Mechanical Engineering;33;Female;PhD;14;Medium
Medicine;25;Female;Bachelor's;20;Medium
Law;33;Male;High School;27;High
Business;33;Female;Master's;26;High
Computer Science;28;Male;Bachelor's;4;Low
Business;57;Male;High School;10;Medium
Psychology;45;Female;Master's;26;High
Business;51;Female;High School;23;High
Psychology;57;Female;Master's;19;High
Mechanical Engineering;36;Female;Master's;24;High
Mechanical Engineering;46;Female;PhD;12;Low
Mechanical Engineering;39;Female;Bachelor's;28;None
Psychology;41;Male;Bachelor's;24;High
Law;34;Male;High School;17;High
Psychology;27;Female;Master's;16;Medium
Psychology;42;Male;Master's;33;High
Arts;40;Female;High School;37;Low
Economics;35;Male;Master's;28;High
Economics;27;Male;High School;19;Medium
Computer Science;59;Female;PhD;10;None
Biology;48;Female;PhD;27;High
Mechanical Engineering;36;Female;Master's;37;None
Business;22;Male;High School;33;Medium
Education;20;Female;High School;20;Low
Psychology;23;Female;High School;3;High
Computer Science;31;Male;Master's;10;High
Education;32;Female;PhD;35;Medium
Psychology;21;Female;PhD;10;None
Education;45;Female;Master's;7;None
Business;31;Male;Bachelor's;20;None
Medicine;33;Female;Bachelor's;37;Low
Education;46;Male;Bachelor's;0;High
Mechanical Engineering;32;Female;Bachelor's;33;Low
Psychology;28;Male;Master's;12;High
Law;38;Female;High School;12;Medium
Biology;33;Female;PhD;30;High
Arts;39;Female;PhD;33;None
Medicine;42;Male;Bachelor's;12;None
Arts;43;Female;Master's;2;Medium
Psychology;33;Female;Master's;21;Low
Computer Science;27;Female;PhD;32;None
Psychology;54;Female;Bachelor's;38;Medium
Computer Science;44;Male;High School;17;Low
Medicine;51;Female;High School;23;None
Mechanical Engineering;50;Male;PhD;38;None
Medicine;47;Female;Bachelor's;19;None
Biology;48;Female;High School;19;Low
Arts;59;Male;High School;1;High
Mechanical Engineering;41;Male;Master's;33;Low
Business;32;Female;High School;19;Low
Arts;45;Male;Master's;21;None
Economics;22;Female;PhD;24;Low
Education;53;Male;Master's;38;High
Economics;24;Female;Bachelor's;24;None
Business;20;Female;Bachelor's;15;Medium
Computer Science;25;Male;Master's;10;None
Medicine;25;Female;Bachelor's;27;High
Economics;21;Male;High School;2;None
Mechanical Engineering;28;Male;Bachelor's;34;None
Arts;53;Male;High School;22;Medium
Biology;29;Female;High School;38;None
Business;38;Female;Master's;33;Medium
Biology;44;Male;High School;20;Low
Arts;32;Male;Bachelor's;29;Low
Biology;44;Male;Bachelor's;13;High
Law;48;Male;Bachelor's;7;High
Biology;56;Male;Master's;23;None
Biology;54;Female;Bachelor's;4;Medium
Business;51;Male;High School;20;Low
Business;57;Male;Bachelor's;14;Low
Computer Science;37;Female;Master's;33;Low
Business;56;Female;PhD;34;Low
Mechanical Engineering;25;Male;High School;12;None
Arts;27;Male;Bachelor's;14;High
Biology;31;Female;Master's;23;Medium
Economics;27;Male;Master's;25;Medium
Mechanical Engineering;56;Female;High School;25;None
Economics;49;Male;High School;19;None
Biology;31;Male;High School;5;Medium
Arts;56;Male;PhD;1;Medium
Psychology;46;Female;High School;32;None
Mechanical Engineering;55;Female;High School;11;None
Education;48;Male;Bachelor's;28;Medium
Education;25;Female;Bachelor's;27;High
Education;20;Male;Bachelor's;3;None
Business;59;Male;Bachelor's;6;None
Education;30;Female;Master's;19;None
Biology;45;Male;Master's;8;Medium
Psychology;45;Female;Master's;18;None
Mechanical Engineering;24;Male;High School;31;Medium
Business;59;Male;Master's;25;Low
Psychology;57;Male;High School;26;Medium
Mechanical Engineering;52;Male;PhD;8;High
Biology;43;Male;High School;2;Low
Business;28;Male;PhD;39;Low
Economics;26;Male;PhD;21;None
Law;48;Male;Bachelor's;12;Medium
Medicine;44;Female;High School;22;Low
Mechanical Engineering;37;Male;Master's;8;High
Mechanical Engineering;34;Male;High School;17;Medium
Computer Science;24;Male;High School;10;None
Medicine;26;Female;Master's;3;High
Psychology;57;Male;High School;37;High
Law;34;Male;Master's;8;High
Economics;40;Male;Master's;28;Medium
Economics;53;Male;Bachelor's;14;Medium
Education;56;Female;Master's;26;None
Arts;56;Male;Master's;19;None
Business;55;Female;High School;18;Medium
Law;35;Female;Bachelor's;38;High
Business;42;Female;PhD;29;Low
Arts;43;Male;High School;10;High
Mechanical Engineering;55;Male;PhD;15;Low
Law;23;Male;PhD;10;None
Arts;24;Female;PhD;10;None
Mechanical Engineering;58;Female;Master's;35;High
Psychology;54;Male;PhD;38;None
Arts;53;Male;High School;36;High
Arts;42;Female;Master's;2;High
Mechanical Engineering;23;Female;Master's;25;High
Biology;32;Male;High School;38;Medium
Medicine;44;Male;PhD;24;Low
Computer Science;25;Male;Master's;31;High
Computer Science;37;Male;High School;31;Medium
Arts;22;Female;High School;20;High
Law;56;Male;Bachelor's;16;None
Computer Science;27;Female;Master's;21;None
Psychology;37;Female;High School;38;Low
Arts;53;Male;Master's;1;None
Arts;35;Female;High School;12;Medium
Biology;39;Male;Master's;16;High
Law;23;Male;High School;39;None
Biology;54;Female;Master's;37;Low
Education;24;Male;High School;10;Medium
Law;35;Female;Bachelor's;26;Medium
Education;23;Male;PhD;15;High
Mechanical Engineering;59;Female;Master's;30;Medium
Education;54;Female;Master's;5;Medium
Computer Science;55;Female;Master's;20;Low
Biology;56;Male;Bachelor's;18;High
Medicine;45;Male;Master's;2;High
Biology;27;Male;High School;32;Low
Arts;31;Female;PhD;30;Medium
Psychology;55;Male;PhD;38;None
Computer Science;39;Male;Master's;22;Medium
Mechanical Engineering;46;Female;Bachelor's;26;Low
Arts;32;Male;Bachelor's;0;Medium
Economics;25;Female;PhD;11;Low
Computer Science;48;Male;PhD;10;Low
Mechanical Engineering;24;Male;PhD;15;Low
Law;32;Female;PhD;18;Low
Business;55;Female;Master's;30;Low
Business;37;Male;Master's;5;Low
Economics;37;Female;Master's;26;Low
Education;56;Male;Bachelor's;29;Medium
Education;55;Female;Bachelor's;23;None
Arts;49;Male;High School;18;Low
Law;40;Male;PhD;28;Low
Business;24;Male;PhD;4;Low
Business;48;Male;Master's;5;High
Medicine;45;Female;Master's;4;Low
Law;33;Female;PhD;34;Medium
Psychology;40;Female;PhD;10;None
Law;28;Male;High School;35;High
Arts;35;Female;Master's;9;Medium
Education;38;Male;PhD;1;Medium
Economics;42;Male;High School;32;Low
Psychology;27;Male;PhD;15;Low
Law;55;Male;Master's;34;Medium
Arts;31;Male;High School;18;Low
Biology;57;Male;Master's;19;None
Education;26;Female;Master's;6;High
Economics;23;Male;High School;26;None
Economics;30;Female;High School;35;Medium
Mechanical Engineering;54;Female;High School;23;None
Medicine;25;Male;PhD;39;Medium
Arts;40;Female;PhD;0;Medium
Arts;43;Male;Bachelor's;2;None
Psychology;47;Male;Bachelor's;2;High
Business;43;Male;Master's;5;None
Law;24;Female;PhD;14;None
Economics;42;Female;High School;8;Medium
Education;52;Male;Master's;37;Medium
Economics;55;Female;Bachelor's;14;None
Law;43;Male;Bachelor's;28;High
Biology;28;Female;High School;16;Low
Biology;23;Female;Bachelor's;19;None
Economics;20;Female;Bachelor's;3;High
Biology;51;Male;Bachelor's;18;None
Arts;27;Male;PhD;8;None
Education;31;Female;High School;18;High
Business;46;Male;Master's;30;High
Medicine;31;Female;PhD;23;Medium
Business;23;Female;Bachelor's;13;Low
Psychology;35;Female;PhD;21;None
Economics;56;Male;High School;33;Medium
Education;25;Female;PhD;12;Low
Psychology;34;Female;Bachelor's;31;Medium
Computer Science;54;Male;Bachelor's;7;High
Business;32;Male;High School;37;High
Arts;40;Female;High School;7;Low
Business;24;Male;High School;13;Low
Medicine;22;Female;Master's;36;High
Mechanical Engineering;23;Female;High School;25;None
Psychology;42;Female;Master's;23;Medium
Business;38;Male;Bachelor's;28;Low
Economics;38;Male;PhD;15;Medium
Arts;27;Female;High School;9;Low
Education;46;Male;Master's;30;Low
Biology;47;Male;High School;39;Medium
Law;36;Male;PhD;5;High
Law;28;Male;Bachelor's;5;None
Psychology;43;Male;High School;13;High
Psychology;39;Male;Master's;23;High
Medicine;35;Male;High School;38;Medium
Law;21;Female;Master's;14;Medium
Psychology;46;Female;Master's;31;None
Economics;21;Male;PhD;26;High
Arts;58;Female;PhD;12;High
Economics;29;Male;PhD;9;Medium
Mechanical Engineering;56;Female;Master's;28;High
Computer Science;26;Male;Master's;3;Low
Education;36;Male;Bachelor's;36;Medium
Law;46;Female;High School;37;Medium
Economics;36;Female;Bachelor's;5;High
Biology;49;Male;Bachelor's;3;Low
Law;58;Male;High School;14;None
Computer Science;36;Female;Master's;6;High
Economics;39;Male;High School;32;Low
Medicine;28;Female;PhD;16;None
Medicine;44;Female;Master's;2;High
Economics;35;Male;High School;35;Medium
Psychology;49;Female;PhD;23;Medium
Law;28;Male;Bachelor's;13;Medium
Mechanical Engineering;35;Female;Bachelor's;6;None
Law;49;Female;Master's;9;High
Law;33;Male;Master's;4;Low
Arts;30;Female;High School;6;Medium
Psychology;48;Male;Bachelor's;13;Low
Medicine;53;Male;High School;33;High
Business;24;Male;PhD;27;Low
Psychology;23;Female;Bachelor's;5;Medium
Arts;21;Male;PhD;14;Medium
Mechanical Engineering;49;Female;Master's;22;High
Business;57;Female;High School;7;Medium
Law;37;Female;PhD;34;Medium
Law;28;Male;PhD;13;Low
Economics;53;Female;Bachelor's;16;Medium
Education;33;Male;High School;1;Low
Law;26;Male;High School;37;High
Economics;54;Male;Bachelor's;11;None
Law;40;Male;Master's;4;Medium
Law;33;Female;Bachelor's;9;High
Computer Science;44;Male;Bachelor's;16;None
Biology;39;Male;Bachelor's;10;Low
Arts;44;Male;High School;31;Medium
Medicine;30;Female;Bachelor's;23;Medium
Education;32;Male;High School;12;None
Economics;38;Male;High School;29;High
Business;36;Female;PhD;7;High
Psychology;32;Female;Bachelor's;29;None
Psychology;42;Male;High School;16;High
Law;36;Male;PhD;34;Medium
Mechanical Engineering;59;Male;Master's;33;High
Education;39;Male;High School;19;High
Law;36;Female;Master's;22;None
Psychology;47;Female;Bachelor's;12;High
Mechanical Engineering;22;Female;Master's;25;Medium
Mechanical Engineering;49;Female;High School;13;None
Business;46;Female;PhD;3;Medium
Law;31;Male;Bachelor's;29;Low
Business;42;Male;Bachelor's;8;Medium
Law;35;Male;High School;11;Medium
Biology;20;Male;High School;7;Medium
Law;43;Female;High School;0;Medium
Computer Science;58;Female;High School;17;Medium
Education;23;Male;PhD;22;None
Arts;47;Male;Master's;4;High
Computer Science;48;Female;PhD;21;Medium
Psychology;31;Male;High School;12;Low
Mechanical Engineering;59;Male;High School;4;High
Arts;59;Female;Bachelor's;10;Medium
Economics;42;Female;PhD;29;Low
Psychology;52;Female;High School;21;Medium
Medicine;23;Female;Bachelor's;28;High
Mechanical Engineering;34;Female;PhD;28;None
Law;25;Male;PhD;14;Medium
Biology;51;Female;PhD;12;Medium
Biology;56;Female;PhD;16;None
Law;21;Male;PhD;9;None
Medicine;37;Female;High School;32;Medium
Biology;48;Male;Bachelor's;24;High
Education;32;Female;PhD;13;None
Medicine;24;Male;PhD;22;Low
Education;43;Female;Bachelor's;17;High
Biology;46;Male;PhD;25;Low
Computer Science;54;Female;Master's;25;High
Education;55;Male;PhD;38;Medium
Biology;33;Female;Bachelor's;8;Medium
Education;34;Female;PhD;5;Medium
Arts;56;Female;Master's;23;Medium
Medicine;33;Female;PhD;24;High
Economics;54;Male;High School;0;None
Computer Science;21;Male;High School;5;High
Business;32;Male;Master's;29;High
Education;55;Female;Bachelor's;24;None
Business;53;Female;Bachelor's;37;Low
Computer Science;39;Male;Bachelor's;27;Low
Psychology;21;Female;Bachelor's;35;Low
Economics;48;Female;PhD;5;Medium
Business;47;Female;Master's;20;Low
Mechanical Engineering;58;Female;High School;29;High
Mechanical Engineering;46;Female;Bachelor's;32;Medium
Law;55;Male;PhD;18;Medium
Computer Science;35;Male;PhD;13;None
Medicine;26;Male;PhD;16;Medium
Law;30;Male;PhD;5;Medium
Computer Science;46;Male;High School;3;None
Economics;53;Female;Master's;29;Low
Medicine;37;Male;PhD;14;Medium
Mechanical Engineering;56;Male;High School;26;None
Medicine;58;Male;Bachelor's;26;Low
Arts;56;Male;PhD;25;None
Arts;42;Male;PhD;31;None
Mechanical Engineering;20;Male;Bachelor's;4;Low
Economics;30;Male;Master's;35;Medium
Economics;20;Female;PhD;9;None
Education;40;Female;PhD;21;None
Computer Science;29;Male;PhD;31;None
Mechanical Engineering;24;Female;Master's;19;Medium
Economics;45;Male;PhD;2;Low
Medicine;30;Female;High School;20;Low
Education;23;Female;Bachelor's;38;Low
Biology;47;Female;PhD;15;High
Law;34;Male;Master's;31;High
Medicine;28;Female;Master's;33;High
Economics;56;Female;PhD;5;None
Biology;39;Female;Master's;12;Medium
Mechanical Engineering;59;Female;PhD;24;High
Biology;24;Male;Master's;20;None
Psychology;42;Female;PhD;6;Low
Psychology;38;Male;High School;30;Medium
Medicine;58;Female;PhD;16;Low
Computer Science;51;Male;Bachelor's;35;None
Economics;55;Female;Bachelor's;13;High
Biology;27;Male;High School;7;Low
Psychology;26;Male;Master's;21;Medium
Law;38;Female;High School;21;Low
Business;21;Female;Master's;33;Medium
Law;28;Female;Bachelor's;23;None
Economics;26;Male;Bachelor's;28;Low
Biology;49;Female;Bachelor's;17;None
Education;36;Male;Bachelor's;21;None
Economics;52;Female;PhD;12;High
Medicine;53;Male;Bachelor's;11;Low
Biology;56;Male;High School;34;Low
Biology;47;Female;Bachelor's;17;Low
Law;49;Male;Master's;26;Low
Computer Science;25;Female;High School;26;High
Arts;28;Female;Master's;33;Low
Computer Science;59;Female;Bachelor's;24;Low
Business;29;Female;Bachelor's;7;High
Arts;36;Female;Bachelor's;8;High
Economics;20;Female;High School;8;Medium
Education;52;Male;High School;20;High
Mechanical Engineering;32;Female;High School;4;Medium
Psychology;37;Female;Master's;9;Medium
Law;39;Female;Master's;9;Low
Biology;37;Female;Master's;9;Medium
Law;49;Female;Bachelor's;9;Low
Mechanical Engineering;41;Male;Bachelor's;34;Medium
Computer Science;38;Male;Master's;24;Medium
Law;20;Male;Bachelor's;7;None
Business;30;Female;High School;0;High
Arts;46;Female;High School;18;None
Mechanical Engineering;45;Female;High School;11;Medium
Business;35;Female;Master's;30;Low
Education;51;Male;Bachelor's;34;None
Arts;30;Male;High School;13;Low
Biology;43;Female;Master's;15;Medium
Medicine;28;Female;Master's;6;None
Medicine;22;Female;Master's;27;Medium
Law;40;Female;PhD;37;None
Mechanical Engineering;23;Male;Bachelor's;2;Medium
Law;36;Male;Bachelor's;18;None
Mechanical Engineering;37;Male;High School;7;Medium
Education;39;Female;Bachelor's;20;Medium
Medicine;36;Male;PhD;11;None
Mechanical Engineering;35;Female;High School;27;High
Education;29;Female;High School;24;None
Biology;58;Male;Master's;18;Medium
Psychology;40;Male;PhD;24;Medium
Computer Science;41;Female;PhD;15;Low
Education;21;Female;Master's;13;Medium
Computer Science;23;Male;Master's;5;High
Arts;49;Female;PhD;30;Medium
Medicine;41;Male;Master's;32;High
Law;32;Male;Master's;2;None
Computer Science;51;Female;Master's;9;Low
Education;27;Male;Bachelor's;2;None
Business;22;Female;Bachelor's;22;None
Medicine;38;Male;Master's;18;Medium
Mechanical Engineering;48;Female;High School;2;Low
Psychology;56;Female;High School;7;None
Medicine;22;Male;Bachelor's;8;Medium
Business;26;Male;Bachelor's;24;None
Arts;30;Female;Master's;25;Medium
Economics;38;Male;Bachelor's;1;Medium
Business;38;Male;PhD;23;Low
Medicine;29;Female;Master's;23;None
Computer Science;37;Female;Bachelor's;37;Low
Law;28;Male;Master's;29;Medium
Biology;30;Female;PhD;32;Low
Business;28;Female;Bachelor's;21;Low
Medicine;26;Female;PhD;16;None
Psychology;32;Female;PhD;2;High
Education;51;Male;High School;13;None
Economics;21;Male;Bachelor's;14;High
Law;33;Female;High School;21;High
Medicine;21;Female;Master's;7;Low
Education;23;Female;Master's;17;None
Education;45;Female;Bachelor's;5;High
Business;46;Male;Bachelor's;6;None
Arts;37;Female;Master's;37;None
Economics;42;Female;High School;33;Medium
Business;45;Female;PhD;5;Low
Arts;51;Female;High School;30;Low
Mechanical Engineering;50;Male;Master's;1;Low
Economics;45;Female;High School;32;None
Mechanical Engineering;45;Female;High School;22;Medium
Biology;41;Male;Master's;23;Medium
Biology;33;Male;Master's;19;Medium
Medicine;48;Female;Bachelor's;35;Medium
Arts;34;Male;Bachelor's;26;None
Medicine;57;Male;PhD;25;None
Economics;34;Male;Master's;34;High
Business;49;Male;Bachelor's;17;None
Education;37;Male;High School;33;None
Law;42;Female;PhD;1;Medium
Mechanical Engineering;43;Male;High School;8;None
Education;54;Female;High School;33;High
Economics;34;Female;PhD;22;High
Business;40;Female;High School;2;High
Business;23;Male;Bachelor's;20;Low
Law;26;Male;Bachelor's;4;Low
Psychology;34;Male;High School;5;High
Mechanical Engineering;32;Male;Bachelor's;9;High
Education;31;Female;Bachelor's;19;None
Arts;31;Male;Bachelor's;11;Medium
Business;58;Male;High School;37;High
Computer Science;23;Female;Master's;14;Low
Economics;39;Female;High School;16;None
Economics;47;Female;PhD;21;High
Biology;41;Female;PhD;29;Medium
Economics;24;Female;High School;33;None
Mechanical Engineering;21;Female;PhD;26;None
Computer Science;28;Female;Master's;32;Low
Computer Science;41;Female;High School;38;Low
Medicine;53;Male;Bachelor's;22;Low
Business;22;Male;PhD;28;Low
Mechanical Engineering;31;Male;High School;18;Medium
Arts;52;Female;High School;2;None
Mechanical Engineering;24;Male;High School;22;None
Computer Science;20;Female;PhD;4;None
Computer Science;44;Female;PhD;21;Medium
Psychology;37;Male;PhD;18;High
Psychology;29;Female;Bachelor's;34;High
Biology;46;Female;PhD;39;Low
Economics;21;Male;PhD;36;High
Medicine;55;Male;PhD;9;None
Biology;25;Female;Master's;21;Low
Economics;29;Female;Master's;18;Low
Biology;28;Female;Master's;22;None
Business;23;Female;Bachelor's;2;High
Medicine;21;Female;High School;31;Medium
Computer Science;22;Female;High School;34;High
Education;26;Female;High School;31;Medium
Business;43;Female;PhD;1;Low
Biology;26;Male;Master's;8;None
Education;41;Male;Bachelor's;34;Medium
Business;22;Female;Master's;10;Low
Medicine;58;Male;Master's;1;Medium
Business;36;Male;PhD;15;Low
Economics;34;Female;High School;25;High
Mechanical Engineering;43;Male;PhD;30;Medium
Psychology;45;Male;Bachelor's;21;None
Business;36;Female;PhD;6;Low
Medicine;58;Male;Bachelor's;6;None
Computer Science;40;Female;High School;10;High
Arts;59;Male;Master's;36;None
Business;20;Female;Master's;23;Low
Computer Science;33;Female;PhD;33;High
Economics;32;Male;Master's;5;Low
Education;47;Female;Master's;31;Medium
Psychology;54;Female;Master's;35;Low
Biology;24;Male;PhD;24;Medium
Medicine;30;Male;High School;23;High
Medicine;28;Female;High School;15;Medium
Business;51;Male;PhD;30;Medium
Psychology;57;Female;Bachelor's;22;High
Arts;48;Male;PhD;31;None
Law;46;Female;High School;24;Low
Mechanical Engineering;47;Female;Bachelor's;12;High
Arts;28;Female;Bachelor's;22;Medium
Business;59;Male;PhD;24;High
Psychology;34;Female;Master's;9;Low
Law;30;Female;Bachelor's;25;High
Psychology;45;Male;Master's;13;Low
Biology;40;Female;High School;36;Low
Education;22;Female;High School;12;High
Medicine;41;Female;PhD;31;Medium
Law;47;Male;High School;6;High
Psychology;25;Female;High School;38;High
Law;57;Female;Master's;14;High
Computer Science;32;Female;Bachelor's;37;Low
Education;56;Male;High School;31;None
Psychology;27;Female;High School;28;High
Biology;57;Female;High School;11;High
Economics;45;Female;High School;28;None
Economics;37;Female;PhD;11;None
Biology;26;Male;High School;27;Low
Computer Science;57;Female;High School;1;High
Mechanical Engineering;30;Male;Master's;15;None
Law;50;Male;PhD;12;None
Business;45;Male;Bachelor's;33;None
Business;59;Female;PhD;36;High
Arts;24;Female;PhD;21;Medium
Business;39;Male;High School;28;High
Law;35;Male;Bachelor's;35;Medium
Education;49;Male;Bachelor's;34;None
Psychology;47;Male;PhD;15;Medium
Biology;24;Male;Bachelor's;26;Medium
Education;38;Female;High School;22;Medium
Arts;42;Male;Master's;9;Medium
Arts;25;Male;Bachelor's;16;Medium
Economics;30;Female;Master's;12;High
Education;45;Male;High School;13;Medium
Biology;38;Male;Master's;26;None
Business;37;Female;High School;33;Medium
Biology;47;Female;Bachelor's;14;Medium
Biology;58;Male;Bachelor's;13;High
Business;57;Male;Master's;28;High
Law;25;Female;Master's;18;High
Business;24;Female;Master's;28;Low
Medicine;26;Male;PhD;20;High
Education;31;Female;High School;32;Medium
Computer Science;21;Male;Master's;23;Medium
Biology;35;Male;Master's;11;Low
Psychology;58;Male;Master's;37;Medium
Biology;23;Male;High School;36;Medium
Mechanical Engineering;45;Male;Bachelor's;19;High
Arts;25;Male;PhD;0;None
Economics;21;Male;PhD;30;High
Medicine;39;Female;High School;30;Low
Law;46;Male;High School;5;None
Arts;33;Male;Master's;3;High
Medicine;54;Female;High School;25;Low
Psychology;22;Male;Bachelor's;7;Low
Computer Science;29;Female;Master's;28;Medium
Arts;23;Male;Bachelor's;10;None
Education;48;Male;Bachelor's;38;High
Education;23;Female;Bachelor's;16;High
Education;26;Male;PhD;14;None
